物品ID,物品名称,显示名称,品质,分类,标签,描述,口径,最大堆叠,默认堆叠,单价,可堆叠,可使用,重量,耐久度
408,Injection_ElecResist,电抗性针,3,Injector,Injector;Medic,一段时间内受到的电属性伤害降低。,,3,1,648,是,是,0.19,0
409,Injection_PainResist,镇痛剂,3,Injector,Injector;Medic,让你在一段时间内无视疼痛。,,3,1,648,是,是,0.21,0
410,Formula_Injection_ElecResist,配方：电抗性针,99,Formula,Formula;Formula_Medic,在医疗站制作电抗性针的配方。,,1,1,253,否,否,0.20,0
411,Formula_Injection_PainResist,配方：镇痛剂,99,Formula,Formula;Formula_Medic,在医疗站制作镇痛剂的配方。,,1,1,253,否,否,0.20,0
412,Magazine_Sniper_Lv_1,狙击枪弹匣 Lv1,999,Accessory,Accessory;Magazine;GunType_SNP,扩容弹匣。,,1,1,1590,否,否,0.25,0
413,Magazine_Sniper_Lv_2,狙击枪弹匣 Lv2,999,Accessory,Accessory;Magazine;GunType_SNP,扩容弹匣。,,1,1,3250,否,否,0.25,0
414,Magazine_Sniper_Lv_3,狙击枪弹匣 Lv3,999,Accessory,Accessory;Magazine;GunType_SNP,扩容弹匣。,,1,1,5600,否,否,0.25,0
415,Magazine_Sniper_Lv_4,狙击枪弹匣 Lv4,999,Accessory,Accessory;Magazine;GunType_SNP,扩容弹匣。,,1,1,9800,否,否,0.25,0
416,Muzzle_L_Slience_1,大口径消音器 Lv1,999,Accessory,Accessory;Muzzle;GunType_AR,减弱声音传播距离。,,1,1,1200,否,否,0.25,0
417,Muzzle_L_Slience_2,大口径消音器 Lv2,999,Accessory,Accessory;Muzzle;GunType_AR,减弱声音传播距离。,,1,1,2000,否,否,0.25,0
418,Muzzle_L_Slience_3,大口径消音器 Lv3,999,Accessory,Accessory;Muzzle;GunType_AR,减弱声音传播距离。,,1,1,3250,否,否,0.25,0
419,Muzzle_L_Slience_4,大口径消音器 Lv4,999,Accessory,Accessory;Muzzle;GunType_AR,减弱声音传播距离。,,1,1,6800,否,否,0.25,0
420,Muzzle_S_Slience_1,小口径消音器 Lv1,999,Accessory,Accessory;Muzzle;GunType_SMG,减弱声音传播距离。,,1,1,1200,否,否,0.25,0
421,Muzzle_S_Slience_2,小口径消音器 Lv2,999,Accessory,Accessory;Muzzle;GunType_SMG,减弱声音传播距离。,,1,1,2000,否,否,0.25,0
422,Muzzle_S_Slience_3,小口径消音器 Lv3,999,Accessory,Accessory;Muzzle;GunType_SMG,减弱声音传播距离。,,1,1,3250,否,否,0.25,0
423,Muzzle_S_Slience_4,小口径消音器 Lv4,999,Accessory,Accessory;Muzzle;GunType_SMG,减弱声音传播距离。,,1,1,6800,否,否,0.25,0
424,Note_BlackMarket,黑市联络笔记,3,Information,Information,沾满黑乎乎的东西，记录着各路商人的信息，但是用某种方式加密了。,,5,1,2541,是,否,0.12,0
425,UDisk,加密U盘,3,Information,Information,可用于存储资料。,,5,1,2466,是,否,0.14,0
426,Key_HiddenWarehouse_Cellar,地窖钥匙,2,Key,Key,通往某处地窖。,,1,1,220,否,否,0.20,0
427,Quest_Letter_HiddenWarehouse_Explorer,隐居者的信,2,Quest,Quest,我挖了条地道，直通对面的仓库后面。但是钥匙让我整丢了。,,1,1,1,否,否,0.20,0
428,Water,瓶装水,2,Food,Food;Drink,瓶装矿泉水，微微发绿。,,1,1,375,否,否,0.50,100
429,PowerOfWishlist,愿望单之力,5,Luxury,Luxury;Daily;Gem;Collection,奖励给添加愿望单的勇士。你一定已经添加愿望单了对吧？对吧？,,1,1,4580,否,否,1.99,0
430,Totem_ElecResist 2,图腾:抗电 Ⅱ,4,Totem,Totem;DontDropOnDeadInSlot,免疫触电。,,1,1,3500,否,否,0.30,0
431,Totem_ElecResist,图腾:抗电 Ⅰ,3,Totem,Totem;DontDropOnDeadInSlot,降低受到的电属性伤害。,,1,1,2000,否,否,0.30,0
432,Totem_Efficiency 2,图腾:效率 Ⅱ,2,Totem,Totem;DontDropOnDeadInSlot,医疗物品的效率提高。,,1,1,1000,否,否,0.30,0
433,Totem_GunControl 3,图腾:控枪 Ⅲ,3,Totem,Totem;DontDropOnDeadInSlot,降低枪械的后坐力与散布。,,1,1,2000,否,否,0.30,0
434,Totem_Reload,图腾：战术换弹,4,Totem,Totem;DontDropOnDeadInSlot,巨幅提高换弹速度。,,1,1,3500,否,否,0.30,0
435,Totem_Ninja 2,图腾:忍者 Ⅱ,2,Totem,Totem;DontDropOnDeadInSlot,降低奔跑时的声音传播距离。,,1,1,1000,否,否,0.30,0
436,Totem_Ninja,图腾:忍者 Ⅰ,1,Totem,Totem;DontDropOnDeadInSlot,小幅降低奔跑时的声音传播距离。,,1,1,350,否,否,0.30,0
437,Sniper_VPO_Deng,VPO-劳登改,9,Weapon,Weapon;Gun;GunType_SNP;Repairable,经过劳登改造的VPO狙击步枪。,SNP,1,1,6046,否,否,4.65,120
438,Injection_HotBlood,热血针剂,4,Injector,Injector;Medic,变得易怒，受到伤害时移动速度与近战伤害会提高，持续60秒。,,3,1,2868,是,是,0.21,0
439,Formula_Injection_HotBlood,配方：热血针剂,99,Formula,Formula;Formula_Medic,在医疗站制作热血针剂的配方。,,1,1,253,否,否,0.20,0
440,Key_GasStation_Warehouse,废弃加油站钥匙,1,Key,Key,某处废弃加油站的钥匙。,,1,1,220,否,否,0.20,0
441,Key_RedWareHosue_Warehouse,厂区办公室钥匙,1,Key,Key,打开位于工厂区的某处办公室。,,1,1,220,否,否,0.20,0
442,Key_SmallRoom_HiddenWarehouse,小隔间钥匙,1,Key,Key,打开某个房子的小隔间。,,1,1,220,否,否,0.20,0
443,Key_HiddenWarehouse_Cellar_Wire,地窖围栏钥匙,3,Key,Key,地窖中一处围栏的钥匙。,,1,1,220,否,否,0.20,0
444,RedBag,红包,3,Luxury,Luxury;Daily,四次元红包，里面不一定装着什么好东西，拆开看看？,,1,1,1817,否,是,0.10,0
445,LuckyNote_1,小纸条,9,Special,Special,恭喜发财。,,10,1,10,是,否,0.01,0
446,NewYear_AncientCoins,铜钱串,5,Luxury,Luxury,好贵！,,1,1,13666,否,否,0.21,0
447,NewYear_ChineseKnot,中国结,4,Luxury,Luxury;Daily,好看！,,1,1,3885,否,否,0.20,0
448,NewYear_Lantern,红灯笼,2,Luxury,Luxury;Daily,好热闹！,,1,1,2373,否,否,0.50,0
449,Dumpling,饺子,2,Food,Food,好吃！,,3,1,212,是,否,0.08,0
450,S_GLick_Low,烂格力克,0,Weapon,Weapon;Gun;GunType_PST;Western;Repairable,残次品的格力克。,SMG,1,1,66,否,否,0.65,100
451,Cash,现金,1,Cash,Cash;NotForSell,纸质现金。,,1000000,100,1,是,否,0.00,0
452,Grip_ALL_ADS_1,快速握把A,2,Accessory,Accessory;Grip,提高瞄准速度的握把。,,1,1,500,否,否,0.10,0
453,Grip_ALL_ADS_2,快速握把B,3,Accessory,Accessory;Grip,大幅提高瞄准速度的握把。,,1,1,1100,否,否,0.13,0
454,Grip_ALL_MOV_1,*Item_Grip_ALL_MOV_1*,999,Accessory,Accessory;Grip,*Item_Grip_ALL_MOV_1_Desc*,,1,1,1,否,否,0.40,0
455,Grip_ALL_REC_1,垂直握把I,3,Accessory,Accessory;Grip,加强垂直后坐力控制的握把。,,1,1,1100,否,否,0.15,0
456,Grip_ALL_REC_2,水平握把I,3,Accessory,Accessory;Grip,加强水平后坐力控制的握把。,,1,1,1100,否,否,0.15,0
457,Grip_ALL_REC_3,平衡握把,4,Accessory,Accessory;Grip,加强后坐力控制的握把。,,1,1,2400,否,否,0.19,0
458,Grip_ALL_REC_4,垂直握把II,4,Accessory,Accessory;Grip,极大幅加强垂直后坐力控制的握把。,,1,1,2400,否,否,0.23,0
459,Grip_ALL_REC_5,水平握把II,4,Accessory,Accessory;Grip,极大幅加强水平后坐力控制的握把。,,1,1,2400,否,否,0.23,0
460,Grip_ALL_SCA_1,腰射握把I,3,Accessory,Accessory;Grip,提高腰射控制与机动性的握把。,,1,1,1100,否,否,0.13,0
461,Grip_ALL_SCA_2,*Item_Grip_ALL_SCA_2*,999,Accessory,Accessory;Grip,*Item_Grip_ALL_SCA_2_Desc*,,1,1,1,否,否,0.40,0
462,Grip_ALL_SCA_3,腰射握把II,4,Accessory,Accessory;Grip,大幅提高腰射控制与机动性的握把。,,1,1,2400,否,否,0.16,0
463,Muzzle_PST_REC_1,手枪制退器-均衡A,3,Accessory,Accessory;Muzzle;GunType_PST,加强后坐力控制与射程的手枪枪口。,,1,1,1100,否,否,0.10,0
464,Muzzle_PST_REC_2,手枪制退器-均衡B,3,Accessory,Accessory;Muzzle;GunType_PST,大幅加强后坐力控制的手枪枪口。,,1,1,1100,否,否,0.10,0
465,Muzzle_PST_SIL_1,手枪消音器,2,Accessory,Accessory;Muzzle;GunType_PST,降低开枪时声响的手枪枪口，但会损失少量子弹速度与射程。,,1,1,500,否,否,0.25,0
466,Muzzle_PST_DIS_1,手枪延长枪口,3,Accessory,Accessory;Muzzle;GunType_PST,提高射程的手枪枪口，但会损失移动速度。,,1,1,1100,否,否,0.25,0
467,Muzzle_PST_SCA_1,手枪制退器-散布,2,Accessory,Accessory;Muzzle;GunType_PST,提高瞄准时散布控制的手枪枪口。,,1,1,500,否,否,0.10,0
468,Muzzle_SMG_REC_1,冲锋枪制退器-均衡A,3,Accessory,Accessory;Muzzle;GunType_SMG,加强后坐力控制与射程的冲锋枪枪口。,,1,1,1100,否,否,0.13,0
469,Muzzle_SMG_REC_2,冲锋枪制退器-均衡B,3,Accessory,Accessory;Muzzle;GunType_SMG,大幅加强后坐力控制的冲锋枪枪口。,,1,1,1100,否,否,0.13,0
470,Muzzle_SMG_REC_3,冲锋枪垂直制退器,4,Accessory,Accessory;Muzzle;GunType_SMG,极大幅加强垂直后坐力控制的冲锋枪枪口。,,1,1,2400,否,否,0.19,0
471,Muzzle_SMG_REC_4,冲锋枪水平制退器,4,Accessory,Accessory;Muzzle;GunType_SMG,极大幅加强水平后坐力控制的冲锋枪枪口。,,1,1,2400,否,否,0.19,0
472,Muzzle_SMG_SCA_1,冲锋枪制退器-散布,2,Accessory,Accessory;Muzzle;GunType_SMG,提高瞄准时散布控制的冲锋枪枪口。,,1,1,500,否,否,0.12,0
473,Muzzle_SMG_SCA_2,冲锋枪螺旋制退器,3,Accessory,Accessory;Muzzle;GunType_SMG,大幅提高瞄准时散布控制的冲锋枪枪口。,,1,1,1100,否,否,0.15,0
474,Muzzle_SMG_SIL_1,冲锋枪消音器,2,Accessory,Accessory;Muzzle;GunType_SMG,降低开枪时声响的冲锋枪枪口，但会损失少量子弹速度与射程。,,1,1,500,否,否,0.40,0
475,Muzzle_AR_DIS_1,步枪延长枪口,3,Accessory,Accessory;Muzzle;GunType_AR,提高射程的步枪枪口，但会损失移动速度。,,1,1,1100,否,否,0.58,0
476,Muzzle_AR_REC_1,步枪制退器-均衡A,3,Accessory,Accessory;Muzzle;GunType_AR,加强后坐力控制与射程的步枪枪口。,,1,1,1100,否,否,0.17,0
477,Muzzle_AR_REC_2,步枪制退器-均衡B,3,Accessory,Accessory;Muzzle;GunType_AR,大幅加强后坐力控制的步枪枪口。,,1,1,1100,否,否,0.17,0
478,Muzzle_AR_REC_3,步枪垂直制退器,4,Accessory,Accessory;Muzzle;GunType_AR,极大幅加强垂直后坐力控制的步枪枪口。,,1,1,2400,否,否,0.23,0
479,Muzzle_AR_REC_4,步枪水平制退器,4,Accessory,Accessory;Muzzle;GunType_AR,极大幅加强水平后坐力控制的步枪枪口。,,1,1,2400,否,否,0.23,0
480,Muzzle_AR_SCA_1,步枪制退器-散布,2,Accessory,Accessory;Muzzle;GunType_AR,提高瞄准时散布控制的步枪枪口。,,1,1,500,否,否,0.15,0
481,Muzzle_AR_SCA_2,步枪螺旋制退器,3,Accessory,Accessory;Muzzle;GunType_AR,大幅提高瞄准时散布控制的步枪枪口。,,1,1,1100,否,否,0.21,0
482,Muzzle_AR_SIL_1,步枪消音器,2,Accessory,Accessory;Muzzle;GunType_AR,降低开枪时声响的步枪枪口，但会损失少量子弹速度与射程。,,1,1,500,否,否,0.60,0
483,Muzzle_AR_SIL_2,*Item_Muzzle_AR_SIL_2*,999,Accessory,Accessory;Muzzle;GunType_AR,*Item_Muzzle_AR_SIL_2_Desc*,,1,1,1,否,否,0.25,0
484,Muzzle_SNP_DIS_1,狙击枪延长枪口,3,Accessory,Accessory;Muzzle;GunType_SNP,提高射程的狙击枪枪口，但会损失移动速度。,,1,1,1100,否,否,1.25,0
485,Muzzle_SNP_REC_1,狙击枪制退器-均衡A,3,Accessory,Accessory;Muzzle;GunType_SNP,加强后坐力控制与射程的狙击枪枪口。,,1,1,1100,否,否,0.25,0
486,Muzzle_SNP_REC_2,*Item_Muzzle_SNP_REC_2*,999,Accessory,Accessory;Muzzle;GunType_SNP,*Item_Muzzle_SNP_REC_2_Desc*,,1,1,1,否,否,0.25,0
487,Muzzle_SNP_REC_3,狙击枪水平制退器,4,Accessory,Accessory;Muzzle;GunType_SNP,极大幅加强水平后坐力控制的狙击枪枪口。,,1,1,2400,否,否,0.31,0
488,Muzzle_SNP_SCA_1,狙击枪制退器-散布,2,Accessory,Accessory;Muzzle;GunType_SNP,提高瞄准时散布控制的狙击枪枪口。,,1,1,500,否,否,0.20,0
489,Muzzle_SNP_SCA_2,狙击枪制退器-机动,3,Accessory,Accessory;Muzzle;GunType_SNP,提高腰射控制的狙击枪枪口。,,1,1,1100,否,否,0.21,0
490,Muzzle_SNP_SIL_1,狙击枪消音器,2,Accessory,Accessory;Muzzle;GunType_SNP,降低开枪时声响的狙击枪枪口，但会损失少量子弹速度与射程。,,1,1,500,否,否,1.20,0
491,Muzzle_SNP_SIL_2,*Item_Muzzle_SNP_SIL_2*,999,Accessory,Accessory;Muzzle;GunType_SNP,*Item_Muzzle_SNP_SIL_2_Desc*,,1,1,1,否,否,0.25,0
492,Muzzle_SNP_SIL_3,*Item_Muzzle_SNP_SIL_3*,999,Accessory,Accessory;Muzzle;GunType_SNP,*Item_Muzzle_SNP_SIL_3_Desc*,,1,1,1,否,否,0.25,0
493,Muzzle_SHT_REC_1,霰弹枪制退器-均衡A,3,Accessory,Accessory;Muzzle;GunType_SHT,加强后坐力控制与射程的霰弹枪枪口。,,1,1,1100,否,否,0.25,0
494,Muzzle_SHT_REC_2,*Item_Muzzle_SHT_REC_2*,999,Accessory,Accessory;Muzzle;GunType_SHT,*Item_Muzzle_SHT_REC_2_Desc*,,1,1,1,否,否,0.25,0
495,Muzzle_SHT_REC_3,*Item_Muzzle_SHT_REC_3*,999,Accessory,Accessory;Muzzle;GunType_SHT,*Item_Muzzle_SHT_REC_3_Desc*,,1,1,1,否,否,0.25,0
496,Muzzle_SHT_REC_4,*Item_Muzzle_SHT_REC_4*,999,Accessory,Accessory;Muzzle;GunType_SHT,*Item_Muzzle_SHT_REC_4_Desc*,,1,1,1,否,否,0.25,0
497,Muzzle_SHT_SCA_1,*Item_Muzzle_SHT_SCA_1*,999,Accessory,Accessory;Muzzle;GunType_SHT,*Item_Muzzle_SHT_SCA_1_Desc*,,1,1,1,否,否,0.25,0
498,Stock_PST_MOV_1,*Item_Stock_PST_MOV_1*,999,Accessory,Accessory;Stock;GunType_PST,*Item_Stock_PST_MOV_1_Desc*,,1,1,1,否,否,0.70,0
499,Stock_PST_REL_1,*Item_Stock_PST_REL_1*,999,Accessory,Accessory;Stock;GunType_PST,*Item_Stock_PST_REL_1_Desc*,,1,1,1,否,否,0.70,0
500,Stock_PST_SCA_1,*Item_Stock_PST_SCA_1*,999,Accessory,Accessory;Stock;GunType_PST,*Item_Stock_PST_SCA_1_Desc*,,1,1,1,否,否,0.70,0
501,Stock_PST_SCA_2,*Item_Stock_PST_SCA_2*,999,Accessory,Accessory;Stock;GunType_PST,*Item_Stock_PST_SCA_2_Desc*,,1,1,1,否,否,0.70,0
502,Stock_SMG_MOV_1,*Item_Stock_SMG_MOV_1*,999,Accessory,Accessory;Stock;GunType_SMG,*Item_Stock_SMG_MOV_1_Desc*,,1,1,1,否,否,0.70,0
503,Stock_SMG_REC_1,*Item_Stock_SMG_REC_1*,999,Accessory,Accessory;Stock;GunType_SMG,*Item_Stock_SMG_REC_1_Desc*,,1,1,1,否,否,0.70,0
504,Stock_SMG_REL_1,*Item_Stock_SMG_REL_1*,999,Accessory,Accessory;Stock;GunType_SMG,*Item_Stock_SMG_REL_1_Desc*,,1,1,1,否,否,0.70,0
505,Stock_SMG_SCA_1,*Item_Stock_SMG_SCA_1*,999,Accessory,Accessory;Stock;GunType_SMG,*Item_Stock_SMG_SCA_1_Desc*,,1,1,1,否,否,0.70,0
506,Stock_SMG_SCA_2,*Item_Stock_SMG_SCA_2*,999,Accessory,Accessory;Stock;GunType_SMG,*Item_Stock_SMG_SCA_2_Desc*,,1,1,1,否,否,0.70,0
507,Stock_SMG_SCA_3,*Item_Stock_SMG_SCA_3*,999,Accessory,Accessory;Stock;GunType_SMG,*Item_Stock_SMG_SCA_3_Desc*,,1,1,1,否,否,0.70,0
508,Stock_AR_MOV_1,快速枪托,3,Accessory,Accessory;Stock;GunType_AR,大幅提高瞄准速度与机动性的枪托。,,1,1,1100,否,否,0.33,0
509,Stock_AR_REC_1,平衡枪托I,2,Accessory,Accessory;Stock;GunType_AR,加强后坐力控制的枪托。,,1,1,500,否,否,0.30,0
510,Stock_AR_REC_2,平衡枪托II,3,Accessory,Accessory;Stock;GunType_AR,大幅加强后坐力控制的枪托。,,1,1,1100,否,否,0.33,0
511,Stock_AR_REL_1,轻型枪托,4,Accessory,Accessory;Stock;GunType_AR,极大幅提高机动性的枪托。,,1,1,2400,否,否,0.39,0
512,Stock_AR_SCA_1,*Item_Stock_AR_SCA_1*,999,Accessory,Accessory;Stock;GunType_AR,*Item_Stock_AR_SCA_1_Desc*,,1,1,1,否,否,0.70,0
513,Stock_AR_SCA_2,*Item_Stock_AR_SCA_2*,999,Accessory,Accessory;Stock;GunType_AR,*Item_Stock_AR_SCA_2_Desc*,,1,1,1,否,否,0.70,0
514,Stock_AR_SCA_3,腰射枪托I,2,Accessory,Accessory;Stock;GunType_AR,加强腰射散布控制的枪托。,,1,1,500,否,否,0.20,0
515,Stock_AR_SCA_4,控制枪托,2,Accessory,Accessory;Stock;GunType_AR,加强瞄准散布控制的枪托。,,1,1,500,否,否,0.20,0
516,Stock_AR_SCA_5,腰射枪托II,4,Accessory,Accessory;Stock;GunType_AR,极大幅加强腰射散布控制的枪托。,,1,1,2400,否,否,0.47,0
517,Stock_AR_SCA_6,*Item_Stock_AR_SCA_6*,999,Accessory,Accessory;Stock;GunType_AR,*Item_Stock_AR_SCA_6_Desc*,,1,1,1,否,否,0.70,0
518,Stock_SNP_REC_1,*Item_Stock_SNP_REC_1*,999,Accessory,Accessory;Stock;GunType_SNP,*Item_Stock_SNP_REC_1_Desc*,,1,1,1,否,否,0.70,0
519,Stock_SNP_REC_2,狙击枪平衡枪托II,999,Accessory,Accessory;Stock;GunType_SNP,大幅加强后坐力控制的狙击枪枪托。,,1,1,1100,否,否,0.70,0
520,Stock_SNP_SCA_1,*Item_Stock_SNP_SCA_1*,999,Accessory,Accessory;Stock;GunType_SNP,*Item_Stock_SNP_SCA_1_Desc*,,1,1,1,否,否,0.70,0
521,Stock_SNP_SCA_2,狙击枪控制枪托I,999,Accessory,Accessory;Stock;GunType_SNP,加强瞄准散布控制的狙击枪枪托。,,1,1,500,否,否,0.70,0
522,Stock_SNP_SCA_3,*Item_Stock_SNP_SCA_3*,999,Accessory,Accessory;Stock;GunType_SNP,*Item_Stock_SNP_SCA_3_Desc*,,1,1,1,否,否,0.70,0
523,Stock_SNP_SCA_4,狙击枪控制枪托II,999,Accessory,Accessory;Stock;GunType_SNP,极大幅加强瞄准散布控制的狙击枪枪托。,,1,1,2400,否,否,0.70,0
524,Stock_SHT_MOV_1,*Item_Stock_SHT_MOV_1*,999,Accessory,Accessory;Stock;GunType_SHT,*Item_Stock_SHT_MOV_1_Desc*,,1,1,1,否,否,0.70,0
525,Stock_SHT_REC_1,*Item_Stock_SHT_REC_1*,999,Accessory,Accessory;Stock;GunType_SHT,*Item_Stock_SHT_REC_1_Desc*,,1,1,1,否,否,0.70,0
526,Stock_SHT_REL_1,*Item_Stock_SHT_REL_1*,999,Accessory,Accessory;Stock;GunType_SHT,*Item_Stock_SHT_REL_1_Desc*,,1,1,1,否,否,0.70,0
527,Stock_SHT_SCA_1,*Item_Stock_SHT_SCA_1*,999,Accessory,Accessory;Stock;GunType_SHT,*Item_Stock_SHT_SCA_1_Desc*,,1,1,1,否,否,0.70,0
528,Stock_SHT_SCA_2,*Item_Stock_SHT_SCA_2*,999,Accessory,Accessory;Stock;GunType_SHT,*Item_Stock_SHT_SCA_2_Desc*,,1,1,1,否,否,0.70,0
529,Stock_SHT_SCA_3,*Item_Stock_SHT_SCA_3*,999,Accessory,Accessory;Stock;GunType_SHT,*Item_Stock_SHT_SCA_3_Desc*,,1,1,1,否,否,0.70,0
530,Stock_SHT_SCA_4,*Item_Stock_SHT_SCA_4*,999,Accessory,Accessory;Stock;GunType_SHT,*Item_Stock_SHT_SCA_4_Desc*,,1,1,1,否,否,0.70,0
531,Magazine_PST_ADS_1,手枪快速弹匣I,2,Accessory,Accessory;Magazine;GunType_PST,提高瞄准速度的手枪弹匣。,,1,1,500,否,否,0.10,0
532,Magazine_PST_ADS_2,手枪快速弹匣II,3,Accessory,Accessory;Magazine;GunType_PST,大幅提高瞄准速度的手枪弹匣。,,1,1,1100,否,否,0.13,0
533,Magazine_PST_CAP_1,手枪扩容弹匣I,2,Accessory,Accessory;Magazine;GunType_PST,提高枪械载弹量的手枪弹匣。,,1,1,500,否,否,0.12,0
534,Magazine_PST_CAP_2,手枪扩容弹匣II,3,Accessory,Accessory;Magazine;GunType_PST,大幅提高枪械载弹量的手枪弹匣。,,1,1,1100,否,否,0.15,0
535,Magazine_PST_REL_1,*Item_Magazine_PST_REL_1*,999,Accessory,Accessory;Magazine;GunType_PST,*Item_Magazine_PST_REL_1_Desc*,,1,1,1,否,否,0.50,0
536,Magazine_SMG_ADS_1,冲锋枪快速弹匣,2,Accessory,Accessory;Magazine;GunType_SMG,提高瞄准速度的冲锋枪弹匣。,,1,1,500,否,否,0.10,0
537,Magazine_SMG_CAP_1,冲锋枪扩容弹匣I,2,Accessory,Accessory;Magazine;GunType_SMG,提高枪械载弹量的冲锋枪弹匣。,,1,1,500,否,否,0.20,0
538,Magazine_SMG_CAP_2,冲锋枪扩容弹匣II,3,Accessory,Accessory;Magazine;GunType_SMG,大幅提高枪械载弹量的冲锋枪弹匣。,,1,1,1100,否,否,0.25,0
539,Magazine_SMG_CAP_3,冲锋枪扩容弹匣III,4,Accessory,Accessory;Magazine;GunType_SMG,极大幅提高枪械载弹量的冲锋枪弹匣。,,1,1,2400,否,否,0.39,0
540,Magazine_SMG_REL_1,*Item_Magazine_SMG_REL_1*,999,Accessory,Accessory;Magazine;GunType_SMG,*Item_Magazine_SMG_REL_1_Desc*,,1,1,1,否,否,0.50,0
541,Magazine_SMG_REL_2,*Item_Magazine_SMG_REL_2*,999,Accessory,Accessory;Magazine;GunType_SMG,*Item_Magazine_SMG_REL_2_Desc*,,1,1,1,否,否,0.50,0
542,Magazine_SMG_REL_3,*Item_Magazine_SMG_REL_3*,999,Accessory,Accessory;Magazine;GunType_SMG,*Item_Magazine_SMG_REL_3_Desc*,,1,1,1,否,否,0.50,0
543,Magazine_AR_ADS_1,步枪快速弹匣I,2,Accessory,Accessory;Magazine;GunType_AR,提高瞄准速度的步枪弹匣。,,1,1,500,否,否,0.12,0
544,Magazine_AR_ADS_2,步枪快速弹匣II,3,Accessory,Accessory;Magazine;GunType_AR,大幅提高瞄准速度的步枪弹匣。,,1,1,1100,否,否,0.15,0
545,Magazine_AR_ADS_3,*Item_Magazine_AR_ADS_3*,999,Accessory,Accessory;Magazine;GunType_AR,*Item_Magazine_AR_ADS_3_Desc*,,1,1,1,否,否,0.50,0
546,Magazine_AR_CAP_1,步枪扩容弹匣I,2,Accessory,Accessory;Magazine;GunType_AR,提高枪械载弹量的步枪弹匣。,,1,1,500,否,否,0.25,0
547,Magazine_AR_CAP_2,步枪扩容弹匣II,3,Accessory,Accessory;Magazine;GunType_AR,大幅提高枪械载弹量的步枪弹匣。,,1,1,1100,否,否,0.29,0
548,Magazine_AR_CAP_3,步枪扩容弹匣III,4,Accessory,Accessory;Magazine;GunType_AR,极大幅提高枪械载弹量的步枪弹匣。,,1,1,2400,否,否,0.31,0
549,Magazine_AR_CAP_4,*Item_Magazine_AR_CAP_4*,999,Accessory,Accessory;Magazine;GunType_AR,*Item_Magazine_AR_CAP_4_Desc*,,1,1,1,否,否,0.50,0
550,Magazine_AR_REL_1,*Item_Magazine_AR_REL_1*,999,Accessory,Accessory;Magazine;GunType_AR,*Item_Magazine_AR_REL_1_Desc*,,1,1,1,否,否,0.50,0
551,Magazine_AR_REL_2,*Item_Magazine_AR_REL_2*,999,Accessory,Accessory;Magazine;GunType_AR,*Item_Magazine_AR_REL_2_Desc*,,1,1,1,否,否,0.50,0
552,Magazine_AR_REL_3,*Item_Magazine_AR_REL_3*,999,Accessory,Accessory;Magazine;GunType_AR,*Item_Magazine_AR_REL_3_Desc*,,1,1,1,否,否,0.50,0
553,Magazine_SNP_ADS_1,狙击枪快速弹匣I,2,Accessory,Accessory;Magazine;GunType_SNP,提高瞄准速度的狙击枪弹匣。,,1,1,500,否,否,0.14,0
554,Magazine_SNP_ADS_2,狙击枪快速弹匣II,3,Accessory,Accessory;Magazine;GunType_SNP,大幅提高瞄准速度的狙击枪弹匣。,,1,1,1100,否,否,0.15,0
555,Magazine_SNP_ADS_3,*Item_Magazine_SNP_ADS_3*,999,Accessory,Accessory;Magazine;GunType_SNP,*Item_Magazine_SNP_ADS_3_Desc*,,1,1,1,否,否,0.50,0
556,Magazine_SNP_CAP_1,狙击枪扩容弹匣I,2,Accessory,Accessory;Magazine;GunType_SNP,提高枪械载弹量的狙击枪弹匣。,,1,1,500,否,否,0.20,0
557,Magazine_SNP_CAP_2,狙击枪扩容弹匣II,3,Accessory,Accessory;Magazine;GunType_SNP,大幅提高枪械载弹量的狙击枪弹匣。,,1,1,1100,否,否,0.25,0
558,Magazine_SNP_CAP_3,*Item_Magazine_SNP_CAP_3*,999,Accessory,Accessory;Magazine;GunType_SNP,*Item_Magazine_SNP_CAP_3_Desc*,,1,1,1,否,否,0.50,0
559,Magazine_SNP_REL_1,*Item_Magazine_SNP_REL_1*,999,Accessory,Accessory;Magazine;GunType_SNP,*Item_Magazine_SNP_REL_1_Desc*,,1,1,1,否,否,0.50,0
560,Magazine_SNP_REL_2,*Item_Magazine_SNP_REL_2*,999,Accessory,Accessory;Magazine;GunType_SNP,*Item_Magazine_SNP_REL_2_Desc*,,1,1,1,否,否,0.50,0
561,Magazine_SHT_CAP_1,霰弹枪扩容弹匣I,999,Accessory,Accessory;Magazine;GunType_SHT,提高枪械载弹量的霰弹枪弹匣。,,1,1,500,否,否,0.50,0
562,Magazine_SHT_CAP_2,霰弹枪扩容弹匣II,999,Accessory,Accessory;Magazine;GunType_SHT,大幅提高枪械载弹量的霰弹枪弹匣。,,1,1,1100,否,否,0.50,0
563,Magazine_SHT_CAP_3,霰弹枪扩容弹匣III,999,Accessory,Accessory;Magazine;GunType_SHT,极大幅提高枪械载弹量的霰弹枪弹匣。,,1,1,2400,否,否,0.50,0
564,Magazine_SHT_CAP_4,*Item_Magazine_SHT_CAP_4*,999,Accessory,Accessory;Magazine;GunType_SHT,*Item_Magazine_SHT_CAP_4_Desc*,,1,1,1,否,否,0.50,0
